year,player_id,guid,player_name,position,pos_abbr,school,team_name,team_abbr,weight,height,ovr_rk,pos_rk,grade,link,player_image
2004,7905,f0713e3230c4d80b9fc93a398ca9ba91,JARRETT PAYTON,Running Back,RB,Miami,Hurricanes,MIAMI,220,72.125,275,21,42,http://insider.espn.com/nfl/draft/player/_/id/7905,NA
2004,8023,09384acc8f1f2019224247d3e2c15540,CHRIS COLLINS,Wide Receiver,WR,Ole Miss,Rebels,MISS,202,72.875,276,36,42,http://insider.espn.com/nfl/draft/player/_/id/8023,NA
2004,7295,867c731a99ed5a1af76efb40907f799e,ROC ALEXANDER,Cornerback,CB,NA,NA,NA,185,71.125,277,29,41,http://insider.espn.com/nfl/draft/player/_/id/7295,NA
2004,7375,938550faf8b4dac1608a5d7faec5652b,GREG TAPLIN,Defensive End,DE,NA,NA,NA,267,76.75,278,26,41,http://insider.espn.com/nfl/draft/player/_/id/7375,NA
2004,7430,ed94373eda112e123e1156db4a99da68,VIRGIL WILLIAMS,Safety,S,NA,NA,NA,196,72.875,279,23,41,http://insider.espn.com/nfl/draft/player/_/id/7430,NA
2004,7580,NA,ROD ROYAL,Inside Linebacker,ILB,McNeese State,Cowboys,MCNS,239,73,280,14,41,http://insider.espn.com/nfl/draft/player/_/id/7580,NA
2004,7956,9d960b448aed920bc418453ca7a2882d,RONNIE GHENT,Tight End,TE,NA,NA,NA,246,74.375,282,17,41,http://insider.espn.com/nfl/draft/player/_/id/7956,NA
2004,8025,c71bf69ae734c57092baecf74c4e8a81,JOHN STANDEFORD,Wide Receiver,WR,NA,NA,NA,195,74.75,283,37,41,http://insider.espn.com/nfl/draft/player/_/id/8025,NA
2004,7554,6e305383f3a0e93fc35457f3f296e4df,LUKE LAWTON,Fullback,FB,McNeese State,Cowboys,MCNS,237,71.5,285,6,40,http://insider.espn.com/nfl/draft/player/_/id/7554,NA
2004,7640,NA,KHIAWATHA DOWNEY,Offensive Guard,OG,Indiana (PA),Crimson Hawks,IND,338,76.25,286,17,40,http://insider.espn.com/nfl/draft/player/_/id/7640,NA
2004,7696,bf0e66ef4055d8cb77d6e3e6b395f681,GREG RICHMOND,Outside Linebacker,OLB,Oklahoma State,Cowboys,OKST,232,73.25,287,21,40,http://insider.espn.com/nfl/draft/player/_/id/7696,NA
