season,player_id,guid,player_name,age,school_abbr,total_qbr,points_added,qb_plays,total_epa,pass,run,exp_sack,penalty,raw_qbr,sack
2004,145567,bb10092424e61b8d9beba673220248bc,Joe Dailey,25,NEB,34.3,-40.8,408,-17.3,-3.5,-3.5,-9.2,-0.2,26.1,-10.1
2004,120295,6188c1752742b5658902cf1539c43e6f,Matt Dlugolecki,23,SDSU,34.1,-19.7,254,-6.2,9.2,-5.8,-7.5,-0.9,30.9,-8.7
2004,136015,74a9c98ed8077695e71a663f1d9ef31a,Joel Statham,22,MD,34,-30.6,320,-13.5,2.6,-3.8,-10,-0.5,27,-11.8
2004,114700,327fc7a83f206831f7e7669f60c2fc61,Kent Smith,22,CMU,33.4,3.1,483,20.3,19.6,13.6,-11.4,-0.8,51.6,-12.6
2004,100854,8ec4b5efb43e3662c0f565f8fec02934,Stan Hill,23,MRSH,32.5,-28.7,490,-4.5,16.1,-3.3,-17.6,2.1,35.2,-19.4
2004,135136,29eca548b3a00e752b7165107cde66b7,Kole McKamey,24,UNM,32.3,-30.2,370,-11.1,0.1,4.2,-12.9,-0.9,30,-14.3
2004,148398,26498ad125c5ef6821d4e58b7f1fee06,Pat Julmiste,25,USF,31.3,-17.6,381,0.5,5.5,4.3,-9.9,2.1,38.2,-11.5
2004,148335,4f069a13bbda3b876b40cc9601722896,Shane Steichen,23,UNLV,31.2,-23.1,235,-9.4,0.1,0.2,-7.5,-1.2,26.5,-8.4
2004,107632,2c6b090769fcae2c4886d96f6190bb7d,Shane Boyd,22,UK,30.9,-38.2,395,-16.9,-6.6,-1.6,-5.4,-1.1,26.8,-7.6
2004,111281,ce727d9be9af7cd2bed8a6c1a70bf4d6,Zack Mills,22,PSU,30.7,-23.2,345,-5.6,6.2,-6.1,-6.4,1.1,33.2,-7
2004,146850,2f8db18366689b68d25516e31da15788,Omarr Conner,24,MSST,30,-27.6,300,-11.6,0.1,-0.9,-9,-1.3,27.8,-9.4
2004,120974,09bee0e1fb93027466c1bc59d7db27d7,Greg Henderson,22,RICE,28,-17,238,-4.2,-3.2,0,-3.6,2.5,32.3,-3.6
